sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
S11277509868,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Portable Power Banks,Default Category/Chargers/Portable Power Banks/Wired",base,Dynamic 2 - 20.000 mAh 20W,"Small Size, Big Power: PowerCore 10000 PD Redux provides more than two charges for iPhone XS or Galaxy S10, and over one charge for iPad mini 5.
Triple Charging Modes: 18W Power-Delivery USB-C port, PowerIQ-enabled USB-A port, and trickle-charging mode for low-power devices. Use the dual USB ports to charge two devices simultaneously.
Rapid Recharge: Power up your PowerCore in just 3 hours with a USB-C Power Delivery wall charger (not included). Recharging via USB-A charger and USB-A to USB-C cable (both not included) will take approximately 9 hours.
Quality Throughout: With a sleek matte exterior and cool-blue LED light-wheel to display battery level, PowerCore 10000 PD Redux is premium both inside and out.
What You Get: PowerCore 10000 PD Redux portable charger, USB-C to USB-C cable (Micro USB cable, USB-A to C cable and Lightning cable not included), mesh bag, welcome guide, our worry-free 18-month warranty, and friendly customer service.",,,1,,"Catalog, Search",25,,,,Dynamic 2 - 20.000,Dynamic 2 - 20.000,Dynamic 2,"Small Size, Big Power: PowerCore 10000 PD Redux provides more than two charges for iPhone XS or Galaxy S10, and over one charge for iPad mini 5.
Triple Charging Modes: 18W Power-Delivery USB-C port, PowerIQ-enabled USB-A port, and trickle-charging mo",28/12/2022 3:34,,,,Block after Info Column,,,,,,,,,,,,,,500,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
S11277509869,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Portable Power Banks,Default Category/Chargers/Portable Power Banks/Wired",base,Dynamic 1 - 10.000 mAh 20W,"Small Size, Big Power: PowerCore 10000 PD Redux provides more than two charges for iPhone XS or Galaxy S10, and over one charge for iPad mini 5.
Triple Charging Modes: 18W Power-Delivery USB-C port, PowerIQ-enabled USB-A port, and trickle-charging mode for low-power devices. Use the dual USB ports to charge two devices simultaneously.
Rapid Recharge: Power up your PowerCore in just 3 hours with a USB-C Power Delivery wall charger (not included). Recharging via USB-A charger and USB-A to USB-C cable (both not included) will take approximately 9 hours.
Quality Throughout: With a sleek matte exterior and cool-blue LED light-wheel to display battery level, PowerCore 10000 PD Redux is premium both inside and out.
What You Get: PowerCore 10000 PD Redux portable charger, USB-C to USB-C cable (Micro USB cable, USB-A to C cable and Lightning cable not included), mesh bag, welcome guide, our worry-free 18-month warranty, and friendly customer service.",,,1,,"Catalog, Search",17,,,,Dynamic 1 - 10.000,Dynamic 1 - 10.000,Dynamic 1,"Small Size, Big Power: PowerCore 10000 PD Redux provides more than two charges for iPhone XS or Galaxy S10, and over one charge for iPad mini 5.
Triple Charging Modes: 18W Power-Delivery USB-C port, PowerIQ-enabled USB-A port, and trickle-charging mo",29/12/2022 3:34,,,,Block after Info Column,,,,,,,,,,,,,,500,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A1268H11,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Portable Power Banks,Default Category/Chargers/Portable Power Banks/Wired",base,Anker Power 3 20000mAh B2B A1268,"Small Size, Big Power: PowerCore 10000 PD Redux provides more than two charges for iPhone XS or Galaxy S10, and over one charge for iPad mini 5.
Triple Charging Modes: 18W Power-Delivery USB-C port, PowerIQ-enabled USB-A port, and trickle-charging mode for low-power devices. Use the dual USB ports to charge two devices simultaneously.
Rapid Recharge: Power up your PowerCore in just 3 hours with a USB-C Power Delivery wall charger (not included). Recharging via USB-A charger and USB-A to USB-C cable (both not included) will take approximately 9 hours.
Quality Throughout: With a sleek matte exterior and cool-blue LED light-wheel to display battery level, PowerCore 10000 PD Redux is premium both inside and out.
What You Get: PowerCore 10000 PD Redux portable charger, USB-C to USB-C cable (Micro USB cable, USB-A to C cable and Lightning cable not included), mesh bag, welcome guide, our worry-free 18-month warranty, and friendly customer service.",,,1,,"Catalog, Search",48,,,,Anker Power 3 20000,Anker Power 3 20000,Anker Power 3,"Small Size, Big Power: PowerCore 10000 PD Redux provides more than two charges for iPhone XS or Galaxy S10, and over one charge for iPad mini 5.
Triple Charging Modes: 18W Power-Delivery USB-C port, PowerIQ-enabled USB-A port, and trickle-charging mo",30/12/2022 3:34,,,,Block after Info Column,,,,,,,,,,,,,,1000,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A1244011,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Portable Power Banks,Default Category/Chargers/Portable Power Banks/Wired",base,Anker PowerSlim 10000mAh PD A1244,"Small Size, Big Power: PowerCore 10000 PD Redux provides more than two charges for iPhone XS or Galaxy S10, and over one charge for iPad mini 5.
Triple Charging Modes: 18W Power-Delivery USB-C port, PowerIQ-enabled USB-A port, and trickle-charging mode for low-power devices. Use the dual USB ports to charge two devices simultaneously.
Rapid Recharge: Power up your PowerCore in just 3 hours with a USB-C Power Delivery wall charger (not included). Recharging via USB-A charger and USB-A to USB-C cable (both not included) will take approximately 9 hours.
Quality Throughout: With a sleek matte exterior and cool-blue LED light-wheel to display battery level, PowerCore 10000 PD Redux is premium both inside and out.
What You Get: PowerCore 10000 PD Redux portable charger, USB-C to USB-C cable (Micro USB cable, USB-A to C cable and Lightning cable not included), mesh bag, welcome guide, our worry-free 18-month warranty, and friendly customer service.",,,1,,"Catalog, Search",38,,,,Anker PowerSlim 10000,Anker PowerSlim 10000,Anker PowerSlim,"Small Size, Big Power: PowerCore 10000 PD Redux provides more than two charges for iPhone XS or Galaxy S10, and over one charge for iPad mini 5.
Triple Charging Modes: 18W Power-Delivery USB-C port, PowerIQ-enabled USB-A port, and trickle-charging mo",31/12/2022 3:34,,,,Block after Info Column,,,,,,,,,,,,,,1000,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A1223H11,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Portable Power Banks,Default Category/Chargers/Portable Power Banks/Wired",base,Anker PowerCore Select 10000 - A1223,"Small Size, Big Power: PowerCore 10000 PD Redux provides more than two charges for iPhone XS or Galaxy S10, and over one charge for iPad mini 5.
Triple Charging Modes: 18W Power-Delivery USB-C port, PowerIQ-enabled USB-A port, and trickle-charging mode for low-power devices. Use the dual USB ports to charge two devices simultaneously.
Rapid Recharge: Power up your PowerCore in just 3 hours with a USB-C Power Delivery wall charger (not included). Recharging via USB-A charger and USB-A to USB-C cable (both not included) will take approximately 9 hours.
Quality Throughout: With a sleek matte exterior and cool-blue LED light-wheel to display battery level, PowerCore 10000 PD Redux is premium both inside and out.
What You Get: PowerCore 10000 PD Redux portable charger, USB-C to USB-C cable (Micro USB cable, USB-A to C cable and Lightning cable not included), mesh bag, welcome guide, our worry-free 18-month warranty, and friendly customer service.",,,1,,"Catalog, Search",26,,,,Anker PowerCore Select 10000,Anker PowerCore Select 10000,Anker PowerCore Select,"Small Size, Big Power: PowerCore 10000 PD Redux provides more than two charges for iPhone XS or Galaxy S10, and over one charge for iPad mini 5.
Triple Charging Modes: 18W Power-Delivery USB-C port, PowerIQ-enabled USB-A port, and trickle-charging mo",01/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,1200,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A2342,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Chargers & Power Adapters,Default Category/Chargers/Chargers & Power Adapters/Wired",base,Anker 735 Charger (GaNPrime 65W),"Power 3 Devices at Once: With 2 USB-C ports and one USB-A port, you can charge your phone, notebook, and earbuds all at once from a single charger. Connect a single device to charge at up to 65W.
Charge Up to 30 Minutes Faster: Our exclusive PowerIQ 4.0 technology features Dynamic Power Distribution, which detects the power needs of connected devices and adjusts power automatically to ensure faster, more efficient charging.
Greener with GaN: If every household in the US used our GaNPrime products in place of non-GaNPrime products, the amount of power saved could be up to 796.39 million kWh per year—that's enough energy to power Hawaii for a full month.
ActiveShield 2.0: Anker's proprietary technology enhances protection by intelligently monitoring temperature over 3 million times per day and adjusting power output to safeguard your connected devices.
What You Get: Anker 735 Charger (GaNPrime 65W), silicone stabilizer, welcome guide, our worry-free 24-month warranty, and friendly customer service.",,,1,,"Catalog, Search",59.99,,,,Anker 735 Charger,Anker 735 Charger,Anker 735,"Power 3 Devices at Once: With 2 USB-C ports and one USB-A port, you can charge your phone, notebook, and earbuds all at once from a single charger. Connect a single device to charge at up to 65W.
Charge Up to 30 Minutes Faster: Our exclusive PowerIQ ",02/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,1000,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
DSFG-84745957,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Chargers & Power Adapters,Default Category/Chargers/Chargers & Power Adapters/Wired",base,Anker 737 Charger (GaNPrime 120W),"Power 3 Devices at Once: With 2 USB-C ports and one USB-A port, you can charge your phone, tablet, and notebook all at once from a single charger. Connect a single device to charge at up to 100W.
Charge Up to 26 Minutes Faster: Our exclusive PowerIQ 4.0 technology features Dynamic Power Distribution, which detects the power needs of connected devices and adjusts power automatically to ensure faster, more efficient charging.
ActiveShield 2.0: Anker's proprietary technology enhances protection by intelligently monitoring temperature over 3 million times per day and adjusting power output to safeguard your connected devices.
Greener with GaN: If every household in the US used our GaNPrime™ products in place of non-GaNPrime™ products, the amount of power saved could be up to 796.39 million kWh per year—that's enough energy to power Hawaii for a full month.
What You Get: Anker 737 Charger (GaNPrime 120W), silicone stabilizer, welcome guide, our worry-free 24-month warranty, and friendly customer service.",,,1,,"Catalog, Search",94.99,,,,Anker 737 Charger,Anker 737 Charger,Anker 737,"Power 3 Devices at Once: With 2 USB-C ports and one USB-A port, you can charge your phone, tablet, and notebook all at once from a single charger. Connect a single device to charge at up to 100W.
Charge Up to 26 Minutes Faster: Our exclusive PowerIQ ",03/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,700,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A2341,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Chargers & Power Adapters,Default Category/Chargers/Chargers & Power Adapters/Wired",base,Anker 717 Charger (140W),"Fast Charge Your MacBook: Thanks to a 140W max output and compatibility with USB Power Delivery 3.1, you can power up your 2021 MacBook Pro 16ʺ in less than 1.5 hours.
Powered by GaN: By swapping out silicon for gallium nitride (GaN), we're able to increase efficiency, improve heat dissipation, and reduce the size of our chargers.
Ultra-Compact Design: Get all the power you need from a charger that's 41% smaller than an original 140W Apple charger.
ActiveShield 2.0: Anker's proprietary technology enhances protection by intelligently monitoring temperature over 3 million times per day and adjusting power output to safeguard your connected devices.
What You Get: Anker 717 Charger (140W), welcome guide, our worry-free 24-month warranty, and friendly customer service.",,,1,,"Catalog, Search",99.99,,,,Anker 717 Charger,Anker 717 Charger,Anker 717,"Fast Charge Your MacBook: Thanks to a 140W max output and compatibility with USB Power Delivery 3.1, you can power up your 2021 MacBook Pro 16ʺ in less than 1.5 hours.
Powered by GaN: By swapping out silicon for gallium nitride (GaN), we're able to i",04/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,500,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
DSFG-8474595244,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Chargers & Power Adapters,Default Category/Chargers/Chargers & Power Adapters/Wired",base,Anker 747 Charger (GaNPrime 150W),"All the Power You Need: Charge 2 laptops at high speed, or power up to 4 devices simultaneously. Connect a single device to one of the USB-C ports to charge at up to 100W.
Compact Yet Powerful: 38% smaller than an Apple 140W charger—but with even more power.
ActiveShield 2.0: Anker's proprietary technology enhances protection by intelligently monitoring temperature over 3 million times per day and adjusting power output to safeguard your connected devices.
Greener with GaN: If every household in the US used our GaNPrime™ products in place of non-GaNPrime™ products, the amount of power saved could be up to 796.39 million kWh per year—that's enough energy to power Hawaii for a full month.
What You Get: Anker 747 Charger (GaNPrime 150W), silicone stabilizer, welcome guide, our worry-free 24-month warranty, and friendly customer service.",,,1,,"Catalog, Search",119.99,,,,Anker 747 Charger,Anker 747 Charger,Anker 747,"All the Power You Need: Charge 2 laptops at high speed, or power up to 4 devices simultaneously. Connect a single device to one of the USB-C ports to charge at up to 100W.
Compact Yet Powerful: 38% smaller than an Apple 140W charger—but with even mor",05/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,500,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A2667,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Chargers & Power Adapters,Default Category/Chargers/Chargers & Power Adapters/Wired",base,Anker 735 Charger (Nano II 65W),"Anker USB C Charger, 735 Charger (Nano II 65W), PPS 3-Port Fast Compact Foldable Wall Charger for MacBook Pro/Air, iPad Pro, Galaxy S20/S10, Dell XPS 13, Note 20/10+, iPhone 13/Pro, Pixel, and More
The Only Charger You Need: Say goodbye to your old chargers. Anker 735 Charger (Nano II 65W) has the power you need to fast charge your phone, tablet, and USB-C notebook from a single charger.
High-Speed Charging: Connect a single device to get a 65W max charge—that’s enough to power up a 2020 MacBook Pro 13″ at full speed. And when you connect three devices, power will be distributed efficiently between ports to ensure you get the best charge.
Compact Design: Power up to 3 devices with a charger that’s roughly the size of an AirPods Pro case.
Powered by GaN II Technology: With a 100% increase in operating frequency, an innovative stacked design, and an upgraded circuit board structure, GaN II technology makes our latest charger smaller without sacrificing a drop of power.
What You Get: Anker 735 Charger (Nano II 65W) / PowerPort III 3-Port 65W Pod, welcome guide, our worry-free 18-month warranty, and friendly customer service.",,,1,,"Catalog, Search",59.99,,,,Anker 735 Charger,Anker 735 Charger,Anker 735 ,"Anker USB C Charger, 735 Charger (Nano II 65W), PPS 3-Port Fast Compact Foldable Wall Charger for MacBook Pro/Air, iPad Pro, Galaxy S20/S10, Dell XPS 13, Note 20/10+, iPhone 13/Pro, Pixel, and More
The Only Charger You Need: Say goodbye to your old c",06/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,1200,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
